"","study","group","age","born","died","findings","autopsy"
"168","4 davis-1963 radium-226, injection","5 1.12 uci/kg total injected (8 semi-monthly injections) 435 days old","2503","10/3/1966","8/10/1973","osteosarcoma ischium","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000277/R30F50%20%231.pdf"
"169","4 davis-1963 radium-226, injection","5 1.12 uci/kg total injected (8 semi-monthly injections) 435 days old","2823","10/3/1966","6/26/1974","osteosarcoma ischium","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000277/R30F51%20%231.pdf"
"170","4 davis-1963 radium-226, injection","5 1.12 uci/kg total injected (8 semi-monthly injections) 435 days old","1","5/21/1967","5/22/1967","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000277/R30F55.pdf"
"171","4 davis-1963 radium-226, injection","5 1.12 uci/kg total injected (8 semi-monthly injections) 435 days old","3","5/21/1967","5/24/1967","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000277/R30F56.pdf"
"172","4 davis-1963 radium-226, injection","5 1.12 uci/kg total injected (8 semi-monthly injections) 435 days old","3253","5/21/1967","4/16/1976","osteosarcoma tibia and humerus","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000277/R30F57.pdf"
"173","4 davis-1963 radium-226, injection","5 1.12 uci/kg total injected (8 semi-monthly injections) 435 days old","3455","9/10/1965","2/25/1975","osteosarcoma 10th rib (recurring)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000277/R30M37%20%231.pdf"
"174","4 davis-1963 radium-226, injection","5 1.12 uci/kg total injected (8 semi-monthly injections) 435 days old","824","9/10/1965","12/13/1967","not available","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000277/R30M38%20%231.pdf"
"175","4 davis-1963 radium-226, injection","5 1.12 uci/kg total injected (8 semi-monthly injections) 435 days old","2491","9/10/1965","7/6/1972","osteosarcoma ischium; terminated 10/07/71: osteosarcoma humerus; amputation 10/07/71, removed","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000277/R30M39%20%231.pdf"
"176","4 davis-1963 radium-226, injection","5 1.12 uci/kg total injected (8 semi-monthly injections) 435 days old","2215","9/27/1965","10/21/1971","osteosarcoma scapula and mandible (leg amputation at age 5.3y, radiation osteodystrophy; amputation","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000277/R30M43%20%231.pdf"
"177","4 davis-1963 radium-226, injection","5 1.12 uci/kg total injected (8 semi-monthly injections) 435 days old","2426","9/27/1965","5/19/1972","osteosarcoma ischium","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000277/R30M44%20%231.pdf"
"178","4 davis-1963 radium-226, injection","5 1.12 uci/kg total injected (8 semi-monthly injections) 435 days old","1139","9/27/1965","11/9/1968","epilepsy","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000277/R30M45%20%231.pdf"
"179","4 davis-1963 radium-226, injection","5 1.12 uci/kg total injected (8 semi-monthly injections) 435 days old","3","6/17/1966","6/20/1966","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000277/R30M49.pdf"
"180","4 davis-1963 radium-226, injection","5 1.12 uci/kg total injected (8 semi-monthly injections) 435 days old","0","10/3/1966","10/3/1966","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000277/R30M52.pdf"
"181","4 davis-1963 radium-226, injection","5 1.12 uci/kg total injected (8 semi-monthly injections) 435 days old","16","10/3/1966","10/19/1966","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000277/R30M53.pdf"
"182","4 davis-1963 radium-226, injection","5 1.12 uci/kg total injected (8 semi-monthly injections) 435 days old","16","10/3/1966","10/19/1966","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000277/R30M54%20%231.pdf"
"183","02 davis-1961 strontium-90, dietary","01 control","6310","12/14/1963","3/24/1981","cod: metastatic mammary carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/D00F01%20%231.pdf"
"184","02 davis-1961 strontium-90, dietary","01 control","1","4/23/1964","4/24/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/D00M15.pdf"
"185","2 davis-1961 strontium-90, dietary","01 control","5578","12/14/1963","3/23/1979","cod: leiomyosarcoma-urethra","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOF02%20%231.pdf"
"186","02 davis-1961 strontium-90, dietary","01 control","4568","12/14/1963","6/16/1976","cod: metastatic thyroid carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOF03%20%231.pdf"
"187","2 davis-1961 strontium-90, dietary","01 control","5657","3/11/1964","9/6/1979","cod: metastatic mammary carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOF05%20%231.pdf"
"188","2 davis-1961 strontium-90, dietary","01 control","0","4/23/1964","4/23/1964","not available","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOF07%20%231.pdf"
"189","02 davis-1961 strontium-90, dietary","01 control","5260","4/23/1964","9/17/1978","cod: metastatic myocardial hemangiosarcoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOF08%20%231.pdf"
"190","02 davis-1961 strontium-90, dietary","01 control","5003","4/23/1964","1/3/1978","cod: metastatic mammary carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOF11%20%231.pdf"
"191","02 davis-1961 strontium-90, dietary","01 control","4095","4/23/1964","7/10/1975","cod: lymphosarcoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOF12%20%231.pdf"
"192","02 davis-1961 strontium-90, dietary","01 control","5700","5/12/1964","12/20/1979","cod: acute necrotizing pneumonia-aspiration, and lymphosarcoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOF16%20%231.pdf"
"193","2 davis-1961 strontium-90, dietary","01 control","0","5/12/1964","5/12/1964","not available","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOF17%20%231.pdf"
"194","02 davis-1961 strontium-90, dietary","01 control","0","5/12/1964","5/12/1964","not available","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOF18%20%231.pdf"
"195","02 davis-1961 strontium-90, dietary","01 control","5113","5/12/1964","5/12/1978","cod: hyperadrenalcorticism & aspiration pneumonia","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOF19%20%231.pdf"
"196","2 davis-1961 strontium-90, dietary","01 control","1","6/3/1964","6/4/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOF22.pdf"
"197","02 davis-1961 strontium-90, dietary","01 control","1","6/3/1964","6/4/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOF23.pdf"
"198","2 davis-1961 strontium-90, dietary","01 control","5466","6/3/1964","5/22/1979","cod: metastatic complex tubular adenocarcinoma-mammary gland","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOF24%20%231.pdf"
"199","02 davis-1961 strontium-90, dietary","01 control","5098","12/14/1963","11/28/1977","cod: peritonitis secondary to duodenal ulcers","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOM04.pdf"
"200","02 davis-1961 strontium-90, dietary","01 control","6214","3/11/1964","3/16/1981","cod: metastatic seminoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOM06%20%231.pdf"
"201","02 davis-1961 strontium-90, dietary","01 control","5699","4/23/1964","11/30/1979","cod: lymphosarcoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOM09%20%231.pdf"
"202","02 davis-1961 strontium-90, dietary","01 control","4382","4/23/1964","4/22/1976","cod: lymphosarcoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOM10%20%231.pdf"
"203","02 davis-1961 strontium-90, dietary","01 control","0","4/23/1964","4/23/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOM13%20.pdf"
"204","02 davis-1961 strontium-90, dietary","01 control","2506","4/23/1964","3/4/1971","cod: chronic pulmonary disease with cor pulmonale","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOM14%20%231.pdf"
"205","02 davis-1961 strontium-90, dietary","01 control","4688","5/12/1964","3/13/1977","cod: lymphosarcoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOM20%20%231.pdf"
"206","02 davis-1961 strontium-90, dietary","01 control","1288","5/12/1964","11/21/1967","cod: convulsions, idiopathic epilepsy, aspiration, pneumonia","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/DOOM21%20%231.pdf"
"207","02 davis-1961 strontium-90, dietary","01 control","4","6/3/1964","6/7/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000280/.pdf"
"208","02 davis-1961 strontium-90, dietary","01 control","6134","6/20/1964","4/6/1981","cod: undetermined central nervous system disease","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/D00M47.pdf"
"209","02 davis-1961 strontium-90, dietary","01 control","2203","6/20/1964","7/2/1970","cod: colonic infarction and shock (post-surgical)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/D00M48.pdf"
"210","02 davis-1961 strontium-90, dietary","01 control","4489","6/16/1964","9/30/1976","cod: congestive heart failure (endocardiosis)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOF29.pdf"
"211","02 davis-1961 strontium-90, dietary","01 control","0","6/17/1964","6/17/1964","not available","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOF33.pdf"
"212","02 davis-1961 strontium-90, dietary","01 control","4170","6/17/1964","11/17/1975","cod: metastatic mammary carcinoma (disseminated intravascular coagulopathy)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOF34.pdf"
"213","02 davis-1961 strontium-90, dietary","01 control","4485","6/17/1964","9/27/1976","cod: metastatic splenic hemangiosarcoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOF35.pdf"
"214","02 davis-1961 strontium-90, dietary","01 control","4204","6/17/1964","12/21/1975","cod: congestive heart failure (endocardiosis)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOF36.pdf"
"215","02 davis-1961 strontium-90, dietary","01 control","4","6/18/1964","6/22/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOF38.pdf"
"216","2 davis-1961 strontium-90, dietary","01 control","0","6/20/1964","6/20/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOF44.pdf"
"217","02 davis-1961 strontium-90, dietary","01 control","5525","8/1/1964","9/17/1979","cod: metastatic mammary carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOF49%20%231.pdf"
"218","02 davis-1961 strontium-90, dietary","01 control","0","8/1/1964","8/1/1964","not available","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOF50.pdf"
"219","02 davis-1961 strontium-90, dietary","01 control","5435","6/3/1964","4/21/1979","cod: metastatic perianal adenocarcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOM26.pdf"
"220","02 davis-1961 strontium-90, dietary","01 control","5270","6/3/1964","11/7/1978","cod: disseminated bronchogenic carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOM27.pdf"
"221","02 davis-1961 strontium-90, dietary","01 control","5496","6/3/1964","6/21/1979","cod: adrenal cortical atrophy (drug-induced)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOM28.pdf"
"222","02 davis-1961 strontium-90, dietary","01 control","1","6/16/1964","6/17/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOM30.pdf"
"223","02 davis-1961 strontium-90, dietary","01 control","3350","6/16/1964","8/18/1973","cod: pituitary adenoma with hydrocephalus; obs: neoplasm was adjacent to bone","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOM31.pdf"
"224","02 davis-1961 strontium-90, dietary","01 control","5833","6/17/1964","6/6/1980","cod: senile cerebral atrophy","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOM37.pdf"
"225","02 davis-1961 strontium-90, dietary","01 control","5377","6/18/1964","3/9/1979","cod: sarcoma near vertebra, origin unknown; obs: neoplasm was adjacent to bone; terminated 9/16/77:","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOM40.pdf"
"226","02 davis-1961 strontium-90, dietary","01 control","0","6/18/1964","6/18/1964","not available","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOM42.pdf"
"227","02 davis-1961 strontium-90, dietary","01 control","6453","6/18/1964","2/17/1982","cod: pulmonary thrombosis","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOM43.pdf"
"228","2 davis-1961 strontium-90, dietary","01 control","0","6/20/1964","6/20/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOM45.pdf"
"229","02 davis-1961 strontium-90, dietary","01 control","0","6/20/1964","6/20/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000281/DOOM46.pdf"
"230","02 davis-1961 strontium-90, dietary","01 control","4753","10/8/1964","10/13/1977","cod: metastatic mammary carcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/D00F54%20%231.pdf"
"231","02 davis-1961 strontium-90, dietary","01 control","6285","8/1/1964","10/16/1981","cod: interstitial pneumonia and bronchiectasis","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/D00M51%20%231.pdf"
"232","2 davis-1961 strontium-90, dietary","01 control","0","8/1/1964","8/1/1964","not available","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/D00M52%20%231.pdf"
"233","02 davis-1961 strontium-90, dietary","01 control","4890","8/1/1964","12/21/1977","cod: salivary gland adenocarcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/D00M53%20%231.pdf"
"234","2 davis-1961 strontium-90, dietary","01 control","1","10/8/1964","10/9/1964","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/D00M55.pdf"
"235","02 davis-1961 strontium-90, dietary","01 control","0","10/8/1964","10/8/1964","not available","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/D00M56.pdf"
"236","02 davis-1961 strontium-90, dietary","01 control","4848","10/8/1964","1/16/1978","cod: metastatic transitional cell carcinoma urinary bladder","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/D00M57%20%231.pdf"
"237","02 davis-1961 strontium-90, dietary","01 control","5867","10/8/1964","10/31/1980","cod: chronic renal failure/central nervous system deficiency","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/D00M58%20%231.pdf"
"238","2 davis-1961 strontium-90, dietary","01 control","0","10/8/1964","10/8/1964","not available","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/D00M59%20%231.pdf"
"239","2 davis-1961 strontium-90, dietary","01 control","5","9/10/1965","9/15/1965","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOF60.pdf"
"240","02 davis-1961 strontium-90, dietary","01 control","5","9/10/1965","9/15/1965","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOF61.pdf"
"241","02 davis-1961 strontium-90, dietary","01 control","6331","9/10/1965","1/10/1983","cod: acute endocarditis and myocarditis","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOF62%20%231.pdf"
"242","02 davis-1961 strontium-90, dietary","01 control","6193","11/5/1965","10/20/1982","cod: metastatic mammary adenocarcinoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOF67%20%231.pdf"
"243","02 davis-1961 strontium-90, dietary","01 control","0","11/5/1965","11/5/1965","not available","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOF68%20%231.pdf"
"244","02 davis-1961 strontium-90, dietary","01 control","6005","11/5/1965","4/15/1982","cod: squamous cell carcinoma, right tonsil","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOF69%20%231.pdf"
"245","02 davis-1961 strontium-90, dietary","01 control","0","12/22/1965","12/22/1965","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOF72.pdf"
"246","02 davis-1961 strontium-90, dietary","01 control","6462","12/22/1965","9/1/1983","cod: nephrosclerosis","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOF73%20%231.pdf"
"247","2 davis-1961 strontium-90, dietary","01 control","4954","12/22/1965","7/16/1979","cod: chronic suppurative folliculodermatitis (demodex)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOF74%231.pdf"
"248","02 davis-1961 strontium-90, dietary","01 control","5637","12/22/1965","5/29/1981","cod: myeloproliferative syndrome","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOF75%20%231.pdf"
"249","2 davis-1961 strontium-90, dietary","01 control","0","12/22/1965","12/22/1965","not available","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOF76%20%231.pdf"
"250","02 davis-1961 strontium-90, dietary","01 control","5144","11/5/1965","12/6/1979","cod: vacuolar hepatopathy-hepatic insufficiency","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOG66%20%231.pdf"
"251","2 davis-1961 strontium-90, dietary","01 control","4","9/10/1965","9/14/1965","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOM63.pdf"
"252","02 davis-1961 strontium-90, dietary","01 control","6382","9/10/1965","3/2/1983","cod: myelopathy (intervertebral disc disease)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOM64%20%231.pdf"
"253","02 davis-1961 strontium-90, dietary","01 control","4","9/10/1965","9/14/1965","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOM65%20%231.pdf"
"254","02 davis-1961 strontium-90, dietary","01 control","5375","11/5/1965","7/24/1980","cod: squamous cell carcinoma, right tonsil","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOM70%20%231.pdf"
"255","02 davis-1961 strontium-90, dietary","01 control","5691","11/5/1965","6/5/1981","cod: necrotizing myocarditis, etiology unknown","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOM71%20%231.pdf"
"256","02 davis-1961 strontium-90, dietary","01 control","0","12/22/1965","12/22/1965","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000282/DOOM77%20%232.pdf"
"257","02 davis-1961 strontium-90, dietary","01 control","2666","6/25/1966","10/12/1973","cod: chronic membranoproliferative glomerulonephritis","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000283/DOO86%20%231.pdf"
"258","02 davis-1961 strontium-90, dietary","01 control","4539","6/10/1966","11/13/1978","cod: acute aspiration bronchopneumonia (aspirated vomitus)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000283/DOOF78.pdf"
"259","02 davis-1961 strontium-90, dietary","01 control","0","6/10/1966","6/10/1966","not available","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000283/doof79%20%231.pdf"
"260","2 davis-1961 strontium-90, dietary","01 control","6418","6/10/1966","1/5/1984","cod: bronchopneumonia; amputation 12/17/74","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000283/DOOF80%20%231.pdf"
"261","2 davis-1961 strontium-90, dietary","01 control","4981","6/25/1966","2/13/1980","cod: acute necrotizing pneumonia-bacterial","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000283/DOOF85%20%231.pdf"
"262","2 davis-1961 strontium-90, dietary","01 control","5333","6/25/1966","1/30/1981","cod: lymphosarcoma","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000283/DOOF87%20%231.pdf"
"263","02 davis-1961 strontium-90, dietary","01 control","5540","7/2/1966","9/1/1981","cod: senile encephalopathy (central nervous system deficiency)","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000283/DOOF91%20%231.pdf"
"264","02 davis-1961 strontium-90, dietary","01 control","3386","7/2/1966","10/9/1975","cod: metastatic hemangiosarcoma right atrium","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000283/DOOF92%20%231.pdf"
"265","2 davis-1961 strontium-90, dietary","01 control","0","6/10/1966","6/10/1966","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000283/DOOM81.pdf"
"266","02 davis-1961 strontium-90, dietary","01 control","4830","6/10/1966","8/31/1979","cod: metastatic heart base tumor","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000283/DOOM82%20%231.pdf"
"267","02 davis-1961 strontium-90, dietary","01 control","5859","6/10/1966","6/25/1982","cod: chronic suppurative pneumonia","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000283/DOOM83%20%231.pdf"
"268","02 davis-1961 strontium-90, dietary","01 control","3","6/10/1966","6/13/1966","","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000283/DOOM84.pdf"
"269","02 davis-1961 strontium-90, dietary","01 control","4336","6/25/1966","5/9/1978","cod: congestive heart failure","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000283/DOOM88%20%231.pdf"
"270","02 davis-1961 strontium-90, dietary","01 control","6003","6/25/1966","12/1/1982","cod: myeloproliferative syndrome","https://s3.amazonaws.com/janus-cloud2/www/PNNL%20and%20UCDAVIS%20SCANNED%20BEAGLE%20DATA/D000283/DOOM89%20%231.pdf"
