"dog_number","birth_date","death_mode","age","sex","group","tissues","comment","experiment","study","era_studyID","era_GroupID","dam","sire"
"1322","1966-06-27","Sacrificed Moribund","11","M","10","0","MALNUTRITION
",NULL,"0","99","1","61","73"
"1323","1966-06-28","Stillborn","0","F","8400","0","STILLBORN
",NULL,"99","99","14","495","538"
"1324","1966-06-28","less than 7 days old","5","F","10","0","BRONCHOPNEUMONIA
",NULL,"0","99","1","495","538"
"1325","1966-06-28","less than 7 days old","3","F","10","0","PNEUMONIA
",NULL,"0","99","1","495","538"
"1326","1966-06-28","less than 7 days old","3","F","10","0","RUNT
",NULL,"0","99","1","495","538"
"1327","1966-06-28","Transferred","1717","F","220","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","3","495","538"
"1328","1966-06-28","less than 7 days old","1","F","10","0","HEPATITIS
",NULL,"0","99","1","495","538"
"1329","1966-06-28","Radiation","658","F","2110","33","ANEMIA, SEPTICEMIA, HEMO.DIATHESIS
","cobalt_chronic","5","5","8","495","538"
"1330","1966-07-03","Experimental Sacrifice","2840","F","220","0","SAC.IN COURSE OF EXP.
",NULL,"0","99","3","329","403"
"1331","1966-07-03","Radiation","3694","F","2410","50","ANGIOSARCOMA,ABD. HEM.
","cobalt_chronic","5","5","5","329","403"
"1332","1966-07-03","Transferred","1712","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1","329","403"
"1333","1966-07-03","Age","4154","F","120","25","SPINAL CORD LESION
",NULL,"0","99","6","329","403"
"1334","1966-07-03","Radiation","1101","M","2410","33","PNEUMONIA, PANCYTOPENIA
","cobalt_chronic","5","5","5","329","403"
"1335","1966-07-03","Sacrificed Moribund","3099","M","2410","24","ANEMIA
","cobalt_chronic","5","5","5","329","403"
"1336","1966-07-05","Stillborn","0","M","8400","0","STILLBORN
",NULL,"99","99","14","921","459"
"1337","1966-07-05","less than 7 days old","6","M","10","0","RUNT
",NULL,"0","99","1","921","459"
"1338","1966-07-05","Stillborn","0","F","8400","0","STILLBORN
",NULL,"99","99","14","577","538"
"1339","1966-07-05","less than 7 days old","3","F","10","0","CONGENITAL ANOMALY
",NULL,"0","99","1","577","538"
"1340","1966-07-05","Experimental Conditions","3768","F","300","0","CUSTODIAL
",NULL,"99","99","10","577","538"
"1341","1966-07-05","Radiation","872","F","2310","33","ANEMIA, PANCYTOPENIA
","cobalt_chronic","5","5","6","577","538"
"1342","1966-07-05","Euthanized for Non-Conformance","2046","M","210","5","SAC.NON-CONFORMING
",NULL,"0","99","2","577","538"
"1343","1966-07-05","less than 7 days old","1","M","10","0","GASTROENTERITIS
",NULL,"0","99","1","577","538"
"1344","1966-07-05","less than 7 days old","1","M","10","0","GASTROENTERITIS
",NULL,"0","99","1","577","538"
"1345","1966-07-06","less than 7 days old","0","U","8400","0","INJ.INFLICTED BY DAM
",NULL,"99","99","14","342","754"
"1346","1966-07-06","Experimental Conditions","4083","F","300","0","CUSTODIAL
",NULL,"99","99","10","342","754"
"1347","1966-07-06","Euthanized for Non-Conformance","1163","F","10","2","SAC.-CULL
",NULL,"0","99","1","342","754"
"1348","1966-07-06","Radiation","866","F","2310","33","ANEMIA, SEPTICEMIA
","cobalt_chronic","5","5","6","342","754"
"1349","1966-07-06","Radiation","716","F","2210","33","ANEMIA, SEPTICEMIA
","cobalt_chronic","5","5","7","342","754"
"1350","1966-07-06","Age","5262","M","120","43","UREMIA
",NULL,"0","99","6","342","754"
"1351","1966-07-06","Radiation","943","M","2310","33","ANEMIA, HYDROPERICARDIUM
","cobalt_chronic","5","5","6","342","754"
"1352","1966-07-06","Stillborn","0","F","8400","0","CONGENITAL ANOMALY
",NULL,"99","99","14","306","652"
"1353","1966-07-06","Transferred","1155","F","10","0","DETERMINATE
",NULL,"0","99","1","306","652"
"1354","1966-07-06","Transferred","1155","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1","306","652"
"1355","1966-07-06","less than 7 days old","3","F","10","0","RUNT
",NULL,"0","99","1","306","652"
"1356","1966-07-06","less than 7 days old","2","F","10","0","SEPTICEMIA
",NULL,"0","99","1","306","652"
"1357","1966-07-06","Sacrificed Moribund","10","F","10","0","HEPATITIS
",NULL,"0","99","1","306","652"
"1358","1966-07-06","Euthanized for Non-Conformance","2045","M","210","5","SAC.NON-CONFORMING
",NULL,"0","99","2","306","652"
"1359","1966-07-10","Stillborn","0","F","8400","0","STILLBORN
",NULL,"99","99","14","530","664"
"1360","1966-07-10","Transferred","1705","F","220","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","3","530","664"
"1361","1966-07-10","Sacrificed Moribund","985","M","2410","34","SEPTICEMIA, BM APLASIA
","cobalt_chronic","5","5","5","530","664"
"1362","1966-07-10","Radiation","857","M","2310","33","ANEMIA, PANCYTOPENIA
","cobalt_chronic","5","5","6","530","664"
"1363","1966-07-11","Stillborn","0","M","8400","0","STILLBORN
",NULL,"99","99","14","660","664"
"1364","1966-07-11","Sacrificed Moribund","8","F","10","0","PNEUMONIA
",NULL,"0","99","1","660","664"
"1365","1966-07-14","Euthanized for Non-Conformance","3129","F","220","0","SAC.NON-CONFORMING
",NULL,"0","99","3","534","591"
"1366","1966-07-14","Sacrificed Moribund","2555","M","2410","27","ANEMIA, POSSIBLE MPD
","cobalt_chronic","5","5","5","534","591"
"1367","1966-07-14","less than 7 days old","2","F","10","0","UMBIL.INFEC.;PERITON.
",NULL,"0","99","1","379","652"
"1368","1966-07-14","Lost","3","F","10","0","DOG MISSING
",NULL,"0","99","1","379","652"
"1369","1966-07-14","Sacrificed Moribund","3050","F","120","21","GASTROENTERITIS
",NULL,"0","99","6","379","652"
"1370","1966-07-14","less than 7 days old","2","M","10","0","UMBIL.INFEC.;PERITON.
",NULL,"0","99","1","379","652"
"1371","1966-07-14","Euthanized for Non-Conformance","1484","M","10","8","SAC.NON-CONFORMING
",NULL,"0","99","1","379","652"
"1372","1966-07-14","less than 7 days old","3","M","10","0","UMBIL.INFEC.;PERITON.
",NULL,"0","99","1","379","652"
"1373","1966-07-14","less than 7 days old","2","M","10","0","UMBIL.INFEC.;PERITON.
",NULL,"0","99","1","379","652"
"1374","1966-07-14","Transferred","880","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1","379","652"
"1375","1966-07-14","Transferred","880","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1","379","652"
"1376","1966-07-30","Stillborn","0","F","8400","15","STILLBORN
",NULL,"99","99","14","394","459"
"1377","1966-07-30","less than 7 days old","1","F","10","0","RUNT;STARVATION
",NULL,"0","99","1","394","459"
"1378","1966-07-30","Sacrificed Moribund","1127","M","8100","0","SAC.-CULL
",NULL,"99","99","9","394","459"
"1379","1966-07-30","Sacrificed Moribund","1776","M","2410","32","MYELOGENOUS LEUKEMIA
","cobalt_chronic","5","5","5","394","459"
"1380","1966-07-30","Sacrificed Moribund","705","M","2110","34","SEPTICEMIA, HEMO.DIATHESIS, PANCYTOPENIA","cobalt_chronic","5","5","8","394","459"
"1381","1966-07-30","Sacrificed Moribund","1634","M","2210","34","ANEMIA, MPD
","cobalt_chronic","5","5","7","394","459"
"1382","1966-08-02","Sacrificed Moribund","1240","F","2310","34","PANCYTOPENIA, MPD
","cobalt_chronic","5","5","6","582","664"
"1383","1966-08-02","Sacrificed Moribund","3347","M","2410","25","ANEMIA, RT.MAXILLA MASS
","cobalt_chronic","5","5","5","582","664"
"1384","1966-08-02","Sacrificed Moribund","4455","M","120","37","CARCINOMA, PITUITARY
",NULL,"0","99","6","582","664"
"1385","1966-08-02","Euthanized for Non-Conformance","559","M","10","34","SAC.NON-CONFORMING
",NULL,"0","99","1","582","664"
"1386","1966-08-02","Radiation","1514","M","2310","33","ANEMIA, MPD
","cobalt_chronic","5","5","6","582","664"
"1387","1966-08-02","less than 7 days old","4","M","10","0","PNEUMONIA
",NULL,"0","99","1","582","664"
"1388","1966-08-07","Stillborn","0","F","8400","14","STILLBORN
",NULL,"99","99","14","415","73"
"1389","1966-08-07","Sacrificed Moribund","2133","F","2410","27","ANEMIA
","cobalt_chronic","5","5","5","415","73"
"1390","1966-08-07","Transferred","548","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1","415","73"
"1391","1966-08-07","Radiation","687","F","2110","33","ANEMIA, SEPTICEMIA, HEMO.DIATHESIS
","cobalt_chronic","5","5","8","415","73"
"1392","1966-08-07","Sacrificed Moribund","1571","F","2410","34","ANEMIA, MPD
","cobalt_chronic","5","5","5","415","73"
"1393","1966-08-07","Euthanized for Non-Conformance","555","M","10","34","SAC.NON-CONFORMING
",NULL,"0","99","1","415","73"
"1394","1966-08-09","Sacrificed Moribund","1578","F","2210","34","MPD
","cobalt_chronic","5","5","7","25","459"
"1395","1966-08-09","Transferred","1122","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1","25","459"
"1396","1966-08-09","Sacrificed Moribund","2504","M","100","23","EPILEPSY
","control","0","99","4","25","459"
"1397","1966-08-09","Radiation","947","M","2310","33","ANEMIA,PANCYTOPENIA
","cobalt_chronic","5","5","6","25","459"
"1398","1966-08-10","Age","64","F","10","32","HYDROCEPHALUS`
",NULL,"0","99","1","185","187"
"1399","1966-08-10","less than 7 days old","7","F","10","0","HEMORR.ENTERITIS`
",NULL,"0","99","1","185","187"
"1400","1966-08-10","less than 7 days old","3","F","10","0","RUNT;PNEUMONIA
",NULL,"0","99","1","185","187"
"1401","1966-08-10","Euthanized for Non-Conformance","2001","F","220","0","SAC.NON-CONFORMING
",NULL,"0","99","3","185","187"
"1402","1966-08-10","Transferred","1120","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1","185","187"
"1403","1966-08-10","less than 7 days old","7","M","10","0","HEMORR.ENTERITIS
",NULL,"0","99","1","185","187"
"1404","1966-08-10","less than 7 days old","3","M","10","0","RUNT
",NULL,"0","99","1","185","187"
"1405","1966-08-14","less than 7 days old","4","F","10","0","RUNT;STARVATION
",NULL,"0","99","1","576","538"
"1406","1966-08-14","less than 7 days old","2","F","10","0","PNEUMONIA`
",NULL,"0","99","1","576","538"
"1407","1966-08-14","less than 7 days old","1","F","10","0","RUNT;ENTERITIS
",NULL,"0","99","1","576","538"
"1408","1966-08-14","less than 7 days old","4","F","10","0","RUNT;STARVATION
",NULL,"0","99","1","576","538"
"1409","1966-08-14","Experimental Conditions","3957","M","300","0","LYMPHOMA-LYMPHOCYTIC`
",NULL,"99","99","10","576","538"
"1410","1966-08-14","less than 7 days old","2","M","10","0","PNEUMONIA
",NULL,"0","99","1","576","538"
"1411","1966-08-23","less than 7 days old","1","M","10","0","RUNT;PNEUMONIA
",NULL,"0","99","1","574","664"
"1412","1966-08-29","less than 7 days old","1","F","7300","0","HEMORR.PNEUMONIA`
",NULL,"99","98","2","773","693"
"1413","1966-08-29","less than 7 days old","1","F","7300","0","DETERMINATE
",NULL,"99","98","2","773","693"
"1414","1966-08-29","Age","1","M","7300","0","PNEUMONIA;SEPTICEMIA
",NULL,"99","98","2","773","693"
"1415","1966-08-29","less than 7 days old","1","M","7300","0","PNEUMONIA;SEPTICEMIA
",NULL,"99","98","2","773","693"
"1416","1966-09-25","less than 7 days old","2","F","10","0","SEPTICEMIA
",NULL,"0","99","1","230","403"
"1417","1966-09-25","less than 7 days old","4","F","10","0","SEPTICEMIA
",NULL,"0","99","1","230","403"
"1418","1966-09-25","less than 7 days old","2","F","10","0","SEPTICEMIA
",NULL,"0","99","1","230","403"
"1419","1966-09-25","less than 7 days old","4","F","10","0","SEPTICEMIA
",NULL,"0","99","1","230","403"
"1420","1966-09-25","Euthanized for Non-Conformance","506","F","10","34","SAC.NON-CONFORMING
",NULL,"0","99","1","230","403"
"1421","1966-09-25","less than 7 days old","5","M","10","0","HYDROTHORAX
",NULL,"0","99","1","230","403"
"1422","1966-09-29","Stillborn","0","F","8400","12","STILLBORN
",NULL,"99","99","14","229","754"
"1423","1966-09-29","Stillborn","0","M","8400","13","STILLBORN`
",NULL,"99","99","14","229","754"
"1424","1966-09-29","Stillborn","0","U","8400","0","DETERMINATE
",NULL,"99","99","14","229","754"
"1425","1966-09-29","less than 7 days old","2","F","10","0","CONGENITAL ANOMALY
",NULL,"0","99","1","229","754"
"1426","1966-09-29","Sacrificed Moribund","14","M","10","0","PULMONARY CONGESTION
",NULL,"0","99","1","229","754"
"1427","1966-09-29","Transferred","1624","M","7300","0","TRANS.OUTSIDE OF ANL
",NULL,"99","98","2","229","754"
"1428","1966-10-20","Sacrificed Moribund","14","F","10","0","RUNT;STARVATION
",NULL,"0","99","1","1115","187"
"1429","1966-10-20","Sacrificed Moribund","2569","F","2410","27","ANEMIA
","cobalt_chronic","5","5","5","1115","187"
"1430","1966-10-20","Sacrificed Moribund","9","F","10","0","RUNT;STARVATION
",NULL,"0","99","1","1115","187"
"1431","1966-10-20","Sacrificed Moribund","9","F","10","0","PULMONARY CONGESTION
",NULL,"0","99","1","1115","187"
"1432","1966-10-20","Stillborn","0","M","8400","0","STILLBORN
",NULL,"99","99","14","1115","187"
"1433","1966-10-20","Sacrificed Moribund","10","M","10","0","DETERMINATE
",NULL,"0","99","1","1115","187"
"1434","1966-10-27","Radiation","757","F","2310","33","ANEMIA, HEMO.DIATHESIS
","cobalt_chronic","5","5","6","731","403"
"1435","1966-10-27","Accident","16","F","10","0","HYPOTHERMIA
",NULL,"0","99","1","731","403"
"1436","1966-10-27","Sacrificed Moribund","3144","F","2410","24","THORACIC VERTEBRAL TUMOR
","cobalt_chronic","5","5","5","731","403"
"1437","1966-10-27","Sacrificed Moribund","4333","F","120","23","LUNG TUMOR
",NULL,"0","99","6","731","403"
"1438","1966-10-27","Sacrificed Moribund","19","M","10","0","STARVATION;ENTERITIS
",NULL,"0","99","1","731","403"
"1439","1966-10-27","Sacrificed Moribund","1931","M","2410","25","ANEMIA, HEMO.DIATHESIS
","cobalt_chronic","5","5","5","731","403"
"1440","1966-10-27","Sacrificed Moribund","529","M","2110","34","LEUKOPENIA, SEPTICEMIA
","cobalt_chronic","5","5","8","731","403"
"1441","1966-10-27","Radiation","657","M","2210","33","BM APLASIA, ANEMIA
","cobalt_chronic","5","5","7","731","403"
"1442","1966-10-27","less than 7 days old","4","M","10","0","STARVATION
",NULL,"0","99","1","731","403"
"1443","1966-10-27","less than 7 days old","7","M","10","0","STARVATION
",NULL,"0","99","1","731","403"
"1444","1966-11-02","Stillborn","0","M","8400","14","STILLBORN
",NULL,"99","99","14","1082","403"
"1445","1966-11-02","less than 7 days old","4","F","10","0","CARDIAC ANOMALY`
",NULL,"0","99","1","1082","403"
"1446","1966-11-02","Euthanized for Non-Conformance","1044","M","10","2","SAC.NON-CONFORMING
",NULL,"0","99","1","1082","403"
"1447","1966-11-02","Euthanized for Non-Conformance","1044","M","10","2","SAC.NON-CONFORMING
",NULL,"0","99","1","1082","403"
"1448","1966-11-02","Sacrificed Moribund","2445","M","2310","26","LYMPHADENOPATHY
","cobalt_chronic","5","5","6","1082","403"
"1449","1966-11-07","Sacrificed Moribund","3180","F","2410","15","META.OVARIAN TUMOR
","cobalt_chronic","5","5","5","1083","754"
"1450","1966-11-07","Euthanized for Non-Conformance","1039","F","10","2","SAC.NON-CONFORMING
",NULL,"0","99","1","1083","754"
"1451","1966-11-07","Euthanized for Non-Conformance","1039","M","10","2","SAC.NON-CONFORMING
",NULL,"0","99","1","1083","754"
"1452","1966-11-07","Sacrificed Moribund","2216","M","100","20","PNEUMONIA
","control","0","99","4","1083","754"
"1453","1966-11-07","Sacrificed Moribund","2293","M","2410","27","MPD
","cobalt_chronic","5","5","5","1083","754"
"1454","1966-11-15","Euthanized for Non-Conformance","2913","F","6900","0","SAC.NON-CONFORMING
",NULL,"99","54","2","244","538"
"1455","1966-11-15","Euthanized for Non-Conformance","2913","F","6900","0","SAC.NON-CONFORMING
",NULL,"99","54","2","244","538"
"1456","1966-11-15","Euthanized for Non-Conformance","1031","F","10","2","SAC.NON-CONFORMING
",NULL,"0","99","1","244","538"
"1457","1966-11-15","Experimental Conditions","4581","F","300","0","PNEUMONIA
",NULL,"99","99","10","244","538"
"1458","1966-11-15","less than 7 days old","4","M","10","0","RUNT
",NULL,"0","99","1","244","538"
"1459","1966-11-15","Transferred","1577","M","2150","0","TRANS.OUTSIDE OF ANL
",NULL,"99","0","0","244","538"
"1460","1966-11-17","Transferred","1575","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1","1095","73"
"1461","1966-11-17","Experimental Sacrifice","1562","F","2850","0","SAC.IN COURSE OF EXP.
","cobalt_chronic","99","51","6","1095","73"
"1462","1966-11-17","Radiation","982","F","2310","33","ANEMIA, MPD
","cobalt_chronic","5","5","6","1095","73"
"1463","1966-11-17","Age","3364","M","100","22","ANGIOSARCOMA, LIVER
","control","0","99","4","1095","73"
"1464","1966-11-17","Sacrificed Moribund","1510","M","2410","34","HEMO.NEPHRITIS, HYDRONEPHROSIS
","cobalt_chronic","5","5","5","1095","73"
"1465","1966-11-17","Radiation","600","M","2110","33","HEMOPERITONEUM, SEPTICEMIA
","cobalt_chronic","5","5","8","1095","73"
"1466","1966-11-20","Euthanized for Non-Conformance","1026","F","10","2","SAC.NON-CONFORMING
",NULL,"0","99","1","617","1032"
"1467","1966-11-20","Sacrificed Moribund","720","F","2310","35","ANEMIA, PANCYTOPENIA
","cobalt_chronic","5","5","6","617","1032"
"1468","1966-11-20","Radiation","610","M","2210","33","PULMONARY EDEMA, PANCYTOPENIA
","cobalt_chronic","5","5","7","617","1032"
"1469","1966-11-20","Sacrificed Moribund","1902","M","2410","24","ANEMIA, MPD
","cobalt_chronic","5","5","5","617","1032"
"1470","1966-12-07","Stillborn","0","F","8400","0","STILLBORN
",NULL,"99","99","14","50","403"
"1471","1966-12-07","Stillborn","0","M","8400","0","STILLBORN
",NULL,"99","99","14","50","403"
"1472","1966-12-07","Radiation","2325","F","2410","27","MPD
","cobalt_chronic","5","5","5","50","403"
"1473","1966-12-07","Radiation","2071","M","2410","25","ANEMIA
","cobalt_chronic","5","5","5","50","403"
"1474","1966-12-07","Radiation","667","M","2310","33","ANEMIA
","cobalt_chronic","5","5","6","50","403"
"1475","1967-01-22","Sacrificed Moribund","15","M","10","0","STARVATION (PUP)`
",NULL,"0","99","1","660","538"
"1476","1967-01-22","Stillborn","0","M","8400","16","STILLBORN`
",NULL,"99","99","14","921","459"
"1477","1967-01-22","Sacrificed Moribund","8","F","10","0","RUNT`
",NULL,"0","99","1","921","459"
"1478","1967-01-22","Stillborn","0","F","8400","0","STILLBORN;UMBIL.HERN.
",NULL,"99","99","14","921","459"
"1479","1967-01-22","Stillborn","0","M","8400","0","STILLBORN
",NULL,"99","99","14","921","459"
"1480","1967-01-28","less than 7 days old","0","M","7300","0","CARDIAC ANOMALY`
",NULL,"99","98","2","4","984"
"1481","1967-01-28","less than 7 days old","0","M","7300","0","INJ.INFLICTED BY DAM
",NULL,"99","98","2","4","984"
"1482","1967-01-31","Sacrificed Moribund","4410","F","100","24","CARCINOMA, THYROID
","control","0","99","4","920","459"
"1483","1967-01-31","Accident","24","F","10","0","FROZEN`
",NULL,"0","99","1","920","459"
"1484","1967-01-31","less than 7 days old","2","M","10","0","RUNT-EMACEATED`
",NULL,"0","99","1","920","459"
"1485","1967-02-06","Stillborn","0","M","8400","14","STILLBORN`
",NULL,"99","99","14","25","403"
"1486","1967-02-06","Transferred","995","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1","25","403"
"1487","1967-02-06","Experimental Conditions","1471","M","300","0","CUSTODIAL
",NULL,"99","99","10","25","403"
"1488","1967-02-06","Experimental Conditions","1471","M","300","0","CUSTODIAL
",NULL,"99","99","10","25","403"
"1489","1967-02-07","Stillborn","0","F","8400","0","STILLBORN`
",NULL,"99","99","14","1108","743"
"1490","1967-02-12","Stillborn","0","M","8400","14","STILLBORN`
",NULL,"99","99","14","537","1004"
"1491","1967-02-18","Stillborn","0","F","8400","0","STILLBORN`
",NULL,"99","99","14","577","538"
"1492","1967-02-18","Stillborn","0","F","8400","0","STILLBORN`
",NULL,"99","99","14","577","538"
"1493","1967-02-18","Stillborn","0","F","8400","0","STILLBORN`
",NULL,"99","99","14","577","538"
"1494","1967-02-18","Stillborn","0","F","8400","0","STILLBORN`
",NULL,"99","99","14","577","538"
"1495","1967-02-18","Stillborn","0","M","8400","0","STILLBORN`
",NULL,"99","99","14","577","538"
"1496","1967-02-18","Stillborn","0","M","8400","0","STILLBORN`
",NULL,"99","99","14","577","538"
"1497","1967-02-18","Stillborn","0","M","8400","0","STILLBORN`
",NULL,"99","99","14","577","538"
"1498","1967-02-18","Stillborn","0","M","8400","0","STILLBORN`
",NULL,"99","99","14","577","538"
"1499","1967-02-22","Stillborn","0","M","8400","0","STILLBORN`
",NULL,"99","99","14","576","538"
"1500","1967-02-22","less than 7 days old","2","F","10","0","RUNT`
",NULL,"0","99","1","576","538"
"1501","1967-02-22","Sacrificed Moribund","25","F","10","0","STARVATION (PUP)`
",NULL,"0","99","1","576","538"
"1502","1967-02-22","Radiation","737","F","2210","33","SEPTICEMIA, HEMO.DIATHESIS
","cobalt_chronic","5","5","7","576","538"
"1503","1967-02-22","Transferred","657","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1","576","538"
"1504","1967-02-22","Transferred","657","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1","576","538"
"1505","1967-02-22","less than 7 days old","1","M","10","0","RUNT`
",NULL,"0","99","1","576","538"
"1506","1967-02-23","less than 7 days old","1","F","8400","0","SUPP.PNEUMONIA`
",NULL,"99","99","14","379","1230"
"1507","1967-02-23","less than 7 days old","3","F","10","0","STARVATION (NEWBORN)`
",NULL,"0","99","1","379","1230"
"1508","1967-02-23","less than 7 days old","7","F","10","0","INJ.INFLICTED BY DAM
",NULL,"0","99","1","379","1230"
"1509","1967-02-23","less than 7 days old","3","F","10","0","DETERMINATE
",NULL,"0","99","1","379","1230"
"1510","1967-02-23","less than 7 days old","4","F","10","0","INJ.INFLICTED BY DAM
",NULL,"0","99","1","379","1230"
"1511","1967-02-23","less than 7 days old","2","M","10","0","INJ.INFLICTED BY DAM
",NULL,"0","99","1","379","1230"
"1512","1967-02-23","less than 7 days old","4","M","10","0","CARDIAC ANOMALY
",NULL,"0","99","1","379","1230"
"1513","1967-02-23","Sacrificed Moribund","9","M","10","0","RUNT`
",NULL,"0","99","1","379","1230"
"1514","1967-02-24","Sacrificed Moribund","18","F","10","0","STARVATION (NEWBORN)`
",NULL,"0","99","1","1110","234"
"1515","1967-02-24","Experimental Conditions","2538","F","300","0","CUSTODIAL
",NULL,"99","99","10","1110","234"
"1516","1967-02-24","Sacrificed Moribund","11","F","10","0","PNEUMONIA`
",NULL,"0","99","1","1110","234"
"1517","1967-02-24","Transferred","1476","M","7300","0","TRANS.OUTSIDE OF ANL
",NULL,"99","98","2","1110","234"
"1518","1967-02-24","Sacrificed Moribund","12","M","10","0","PNEUMONIA`
",NULL,"0","99","1","1110","234"
"1519","1967-02-24","less than 7 days old","0","U","8400","0","INJ.INFLICTED BY DAM
",NULL,"99","99","14","659","664"
"1520","1967-02-25","Transferred","1475","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1","329","754"
"1521","1967-02-25","Age","5298","F","100","45","LYMPHOCYT. LYMPHOSARC.
","control","0","99","4","329","754"
"1522","1967-02-25","Radiation","996","M","2210","33","ANEMIA, SEPTICEMIA
","cobalt_chronic","5","5","7","329","754"
"1523","1967-02-25","Radiation","711","M","2210","33","SEPTICEMIA, PANCYTOPENIA, HEMO.DIATHESIS","cobalt_chronic","5","5","7","329","754"
"1524","1967-02-25","Experimental Conditions","1487","M","300","0","DETERMINATE
",NULL,"99","99","10","329","754"
"1525","1967-02-25","Radiation","553","M","2140","32","SEPT.ENDOMETRITIS;PNEU.
","cobalt_chronic","99","6","14","329","754"
"1526","1967-02-28","Radiation","2321","F","2140","14","SURG.SHOCK;MAMM.AD.CA.`
","cobalt_chronic","6","6","14","342","754"
"1527","1967-02-28","Transferred","1472","F","220","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","3","342","754"
"1528","1967-02-28","Euthanized for Non-Conformance","926","M","10","2","SAC.NON-CONFORMING
",NULL,"0","99","1","342","754"
"1529","1967-03-03","Experimental Sacrifice","1354","F","5500","0","CULLED
",NULL,"4","4","0","1186","234"
"1530","1967-03-03","Experimental Sacrifice","1357","F","110","1","SAC.IN COURSE OF EXP.
",NULL,"0","99","5","1186","234"
"1531","1967-03-03","Age","3568","M","100","44","ADENOCARCINOMA, DUOD.
","control","0","99","4","1186","234"
"1532","1967-03-03","Transferred","916","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1","1186","234"
"1533","1967-03-03","Radiation","796","M","2140","33","HEM.DIATH.SEPT.PNEU.
","cobalt_chronic","99","6","14","1186","234"
"1534","1967-03-22","less than 7 days old","1","F","8400","0","RUNT
",NULL,"99","99","14","394","234"
"1535","1967-03-22","less than 7 days old","2","F","10","0","RUNT
",NULL,"0","99","1","394","234"
"1536","1967-03-22","Radiation","533","F","2140","33","SEPTICEMIA,ANEMIA
","cobalt_chronic","99","6","14","394","234"
"1537","1967-03-22","less than 7 days old","1","M","10","0","RUNT
",NULL,"0","99","1","394","234"
"1538","1967-03-26","Stillborn","0","F","8400","0","STILLBORN
",NULL,"99","99","14","339","403"
"1539","1967-03-26","less than 7 days old","1","U","8400","0","INJ.INFLICTED BY DAM
",NULL,"99","99","14","339","403"
"1540","1967-03-26","less than 7 days old","1","F","10","0","STARVATION (NEWBORN)`
",NULL,"0","99","1","339","403"
"1541","1967-03-26","less than 7 days old","2","F","10","0","ATELECTASIS NEONATUM`
",NULL,"0","99","1","339","403"
"1542","1967-03-26","Radiation","764","F","2210","32","ANEMIA, SEPTICEMIA
","cobalt_chronic","5","5","7","339","403"
"1543","1967-03-26","Radiation","578","M","2140","33","SEPTICEMIA
","cobalt_chronic","99","6","14","339","403"
"1544","1967-03-26","Radiation","3114","M","2140","45","LYMPHOSA.,INTEST.,HEART
","cobalt_chronic","6","6","14","339","403"
"1545","1967-03-26","Euthanized for Non-Conformance","900","M","10","2","SAC.NON-CONFORMING
",NULL,"0","99","1","339","403"
"1546","1967-03-26","Transferred","947","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1","339","403"
"1547","1967-04-02","Radiation","765","F","2140","33","HEM.DIATHESIS,SEPT.
","cobalt_chronic","99","6","14","230","403"
"1548","1967-04-02","Age","3267","F","100","43","CHEMODECTOMA
","control","0","99","4","230","403"
"1549","1967-04-02","Transferred","940","F","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1","230","403"
"1550","1967-04-02","Transferred","940","M","10","0","TRANS.OUTSIDE OF ANL
",NULL,"0","99","1","230","403"
"1551","1967-04-02","Serial Sacrifice","372","M","300","0","DETERMINATE
",NULL,"99","99","10","230","403"
"1552","1967-04-02","Transferred","1439","M","7300","0","TRANS.OUTSIDE OF ANL
",NULL,"99","98","2","230","403"
"1553","1967-04-11","Stillborn","0","M","8400","0","STILLBORN
",NULL,"99","99","14","731","1032"
"1554","1967-04-11","Radiation","1823","F","2140","44","ENDOMETRITIS,SHOCK.SURG
","cobalt_chronic","6","6","14","731","1032"
"1555","1967-04-11","Euthanized for Non-Conformance","2878","F","220","0","SAC.NON-CONFORMING
",NULL,"0","99","3","731","1032"
"1556","1967-04-11","Radiation","755","F","2140","33","HEM.DIATHESIS,SEPT.
","cobalt_chronic","99","6","14","731","1032"
"1557","1967-04-11","Radiation","541","F","2140","33","HEM.DIATHESIS,SEPT.
","cobalt_chronic","99","6","14","731","1032"
